age, workclass, fnlgwt, education, education-num, marital-status, occupation, relationship, race, sex, capital-gain, capital-loss, hours-per-week, native-country, decision
>37, Federal-gov,>178356, Bachelors,>10, Married-civ-spouse, Prof-specialty, Husband, Black, Male,<=0,<=0,<=40, United-States, >50K
>37, Private,<=178356, HS-grad,<=10, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,<=0,<=0,<=40, United-States, <=50K
>37, Private,<=178356, Masters,>10, Divorced, Exec-managerial, Unmarried, White, Female,<=0,<=0,<=40, United-States, <=50K
>37, State-gov,<=178356, Assoc-voc,>10, Married-civ-spouse, Craft-repair, Husband, White, Male,<=0,<=0,<=40, United-States, <=50K
<=37, Private,>178356, Assoc-voc,>10, Never-married, Prof-specialty, Not-in-family, White, Male,<=0,<=0,>40, United-States, <=50K
<=37, Private,<=178356, Some-college,<=10, Married-civ-spouse, Exec-managerial, Wife, Other, Female,<=0,<=0,<=40, United-States, <=50K
<=37, Private,>178356, HS-grad,<=10, Never-married, Other-service, Own-child, White, Female,<=0,<=0,<=40, ?, <=50K
>37, Private,<=178356, Prof-school,>10, Married-civ-spouse, Prof-specialty, Wife, White, Female,<=0,>0,>40, Honduras, >50K
>37, Federal-gov,>178356, Bachelors,>10, Divorced, Exec-managerial, Not-in-family, White, Male,<=0,<=0,>40, United-States, >50K
>37, Self-emp-inc,<=178356, HS-grad,<=10, Divorced, Exec-managerial, Not-in-family, White, Male,<=0,<=0,>40, United-States, <=50K
>37, Private,>178356, Some-college,<=10, Married-civ-spouse, Tech-support, Husband, White, Male,<=0,<=0,<=40, United-States, >50K
>37, Private,>178356, 5th-6th,<=10, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,<=0,<=0,<=40, Mexico, <=50K
<=37, Private,<=178356, Assoc-voc,>10, Married-civ-spouse, Other-service, Husband, White, Male,<=0,<=0,<=40, Puerto-Rico, <=50K
>37, Private,<=178356, HS-grad,<=10, Married-civ-spouse, Adm-clerical, Husband, White, Male,<=0,<=0,>40, United-States, <=50K
<=37, Private,>178356, HS-grad,<=10, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,>0,<=0,<=40, United-States, <=50K
<=37, Private,<=178356, Bachelors,>10, Married-civ-spouse, Sales, Husband, White, Male,>0,<=0,<=40, United-States, <=50K
<=37, ?,>178356, 7th-8th,<=10, Married-spouse-absent, ?, Not-in-family, White, Male,<=0,<=0,<=40, ?, <=50K
>37, Private,<=178356, HS-grad,<=10, Married-civ-spouse, Transport-moving, Husband, White, Male,<=0,<=0,<=40, United-States, <=50K
>37, Private,<=178356, Doctorate,>10, Married-civ-spouse, Prof-specialty, Husband, White, Male,<=0,<=0,>40, United-States, >50K
<=37, Private,<=178356, Some-college,<=10, Divorced, Tech-support, Not-in-family, White, Male,<=0,<=0,>40, United-States, <=50K
<=37, Private,<=178356, HS-grad,<=10, Married-civ-spouse, Craft-repair, Husband, White, Male,<=0,<=0,<=40, United-States, <=50K
<=37, Private,>178356, Some-college,<=10, Divorced, Adm-clerical, Not-in-family, White, Female,<=0,<=0,<=40, United-States, <=50K
>37, Private,<=178356, HS-grad,<=10, Married-civ-spouse, Adm-clerical, Wife, White, Female,<=0,<=0,<=40, United-States, >50K
>37, Self-emp-inc,>178356, Some-college,<=10, Married-civ-spouse, Exec-managerial, Husband, White, Male,<=0,<=0,>40, United-States, >50K
<=37, ?,>178356, Some-college,<=10, Never-married, ?, Own-child, White, Male,<=0,<=0,<=40, United-States, <=50K
<=37, Private,<=178356, Some-college,<=10, Never-married, Prof-specialty, Own-child, White, Male,<=0,<=0,<=40, United-States, <=50K
<=37, Private,>178356, Bachelors,>10, Separated, Sales, Own-child, Black, Female,<=0,<=0,<=40, United-States, <=50K
<=37, Self-emp-not-inc,<=178356, Bachelors,>10, Married-civ-spouse, Sales, Husband, White, Male,<=0,<=0,>40, United-States, >50K
<=37, Private,>178356, Some-college,<=10, Never-married, Machine-op-inspct, Not-in-family, White, Male,<=0,<=0,<=40, United-States, <=50K
>37, Private,<=178356, Some-college,<=10, Married-civ-spouse, Prof-specialty, Other-relative, White, Male,<=0,<=0,<=40, United-States, <=50K
<=37, Private,>178356, HS-grad,<=10, Never-married, Other-service, Own-child, White, Male,<=0,<=0,<=40, Mexico, <=50K
>37, Private,<=178356, Assoc-acdm,>10, Married-civ-spouse, Adm-clerical, Husband, White, Male,<=0,<=0,<=40, United-States, <=50K
>37, ?,>178356, 10th,<=10, Married-civ-spouse, ?, Husband, White, Male,<=0,<=0,<=40, United-States, <=50K
<=37, Private,>178356, 11th,<=10, Never-married, Other-service, Own-child, White, Female,<=0,<=0,<=40, United-States, <=50K
<=37, Local-gov,<=178356, 7th-8th,<=10, Married-civ-spouse, Farming-fishing, Husband, White, Male,<=0,<=0,<=40, United-States, <=50K
<=37, Private,>178356, HS-grad,<=10, Never-married, Sales, Not-in-family, White, Male,<=0,<=0,<=40, United-States, <=50K
>37, Private,>178356, Bachelors,>10, Married-civ-spouse, Other-service, Husband, White, Male,<=0,<=0,<=40, Cuba, <=50K
>37, Private,<=178356, HS-grad,<=10, Married-civ-spouse, Other-service, Wife, White, Female,<=0,<=0,<=40, United-States, <=50K
>37, Private,<=178356, HS-grad,<=10, Married-civ-spouse, Sales, Husband, White, Male,<=0,<=0,>40, United-States, <=50K
>37, Private,>178356, HS-grad,<=10, Divorced, Craft-repair, Not-in-family, White, Female,>0,<=0,<=40, United-States, >50K
>37, Private,>178356, HS-grad,<=10, Divorced, Sales, Own-child, White, Female,<=0,<=0,<=40, United-States, <=50K
>37, Local-gov,>178356, HS-grad,<=10, Married-civ-spouse, Protective-serv, Husband, White, Male,<=0,<=0,<=40, United-States, >50K
<=37, Private,>178356, Masters,>10, Married-civ-spouse, Prof-specialty, Husband, White, Male,<=0,<=0,>40, United-States, <=50K
<=37, Private,<=178356, 9th,<=10, Never-married, Sales, Not-in-family, White, Male,<=0,<=0,<=40, United-States, <=50K
>37, Federal-gov,>178356, Doctorate,>10, Never-married, Prof-specialty, Not-in-family, White, Female,<=0,<=0,>40, United-States, >50K
>37, Private,>178356, Assoc-voc,>10, Married-civ-spouse, Prof-specialty, Husband, White, Male,<=0,<=0,<=40, United-States, <=50K
<=37, Private,>178356, Some-college,<=10, Divorced, Craft-repair, Unmarried, White, Female,<=0,<=0,<=40, United-States, <=50K
<=37, Private,>178356, Some-college,<=10, Divorced, Machine-op-inspct, Unmarried, Black, Female,<=0,<=0,<=40, United-States, <=50K
<=37, Private,<=178356, HS-grad,<=10, Married-civ-spouse, Sales, Wife, Asian-Pac-Islander, Female,<=0,>0,<=40, ?, <=50K
<=37, Local-gov,>178356, Bachelors,>10, Married-civ-spouse, Protective-serv, Husband, White, Male,<=0,<=0,<=40, United-States, >50K
<=37, Local-gov,<=178356, Some-college,<=10, Never-married, Handlers-cleaners, Not-in-family, White, Male,<=0,<=0,>40, United-States, <=50K
>37, Self-emp-not-inc,>178356, Doctorate,>10, Married-civ-spouse, Prof-specialty, Husband, White, Male,<=0,>0,>40, United-States, >50K
<=37, Private,>178356, Some-college,<=10, Married-civ-spouse, Sales, Husband, White, Male,<=0,<=0,>40, United-States, >50K
>37, Private,<=178356, Assoc-acdm,>10, Divorced, Exec-managerial, Unmarried, White, Female,<=0,<=0,<=40, England, <=50K
<=37, Federal-gov,>178356, HS-grad,<=10, Never-married, Other-service, Own-child, Black, Male,<=0,<=0,<=40, United-States, <=50K
>37, Private,<=178356, Masters,>10, Married-civ-spouse, Exec-managerial, Husband, White, Male,<=0,<=0,<=40, United-States, >50K
>37, Private,>178356, Bachelors,>10, Married-civ-spouse, Exec-managerial, Husband, White, Male,>0,<=0,>40, United-States, >50K
>37, Self-emp-not-inc,<=178356, Masters,>10, Never-married, Prof-specialty, Not-in-family, White, Female,<=0,<=0,>40, United-States, <=50K
<=37, Private,>178356, Some-college,<=10, Never-married, Tech-support, Own-child, White, Female,<=0,<=0,<=40, United-States, <=50K
<=37, Private,<=178356, HS-grad,<=10, Never-married, Craft-repair, Not-in-family, White, Male,<=0,<=0,<=40, United-States, <=50K
<=37, Self-emp-inc,>178356, HS-grad,<=10, Married-civ-spouse, Craft-repair, Husband, White, Male,>0,<=0,<=40, United-States, >50K
<=37, ?,>178356, 10th,<=10, Never-married, ?, Own-child, White, Female,>0,<=0,<=40, United-States, <=50K
<=37, Private,>178356, 11th,<=10, Never-married, Handlers-cleaners, Own-child, White, Male,<=0,<=0,<=40, United-States, <=50K
<=37, Local-gov,>178356, HS-grad,<=10, Never-married, Adm-clerical, Not-in-family, White, Female,<=0,<=0,<=40, United-States, <=50K
>37, Private,<=178356, HS-grad,<=10, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,<=0,<=0,<=40, United-States, <=50K
<=37, Private,>178356, Bachelors,>10, Never-married, Sales, Other-relative, White, Male,<=0,<=0,<=40, United-States, <=50K
>37, Private,<=178356, Prof-school,>10, Married-civ-spouse, Prof-specialty, Husband, White, Male,<=0,<=0,<=40, United-States, >50K
>37, Self-emp-not-inc,>178356, HS-grad,<=10, Married-civ-spouse, Other-service, Husband, White, Male,<=0,>0,>40, Canada, >50K
<=37, Private,>178356, Some-college,<=10, Married-civ-spouse, Sales, Wife, White, Female,>0,<=0,<=40, United-States, <=50K
<=37, Private,<=178356, HS-grad,<=10, Never-married, Machine-op-inspct, Own-child, White, Female,<=0,<=0,<=40, United-States, <=50K
>37, Private,<=178356, 9th,<=10, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,<=0,<=0,>40, United-States, <=50K
>37, Self-emp-inc,>178356, Some-college,<=10, Married-civ-spouse, Sales, Husband, White, Male,<=0,<=0,>40, United-States, <=50K
>37, Local-gov,>178356, Assoc-voc,>10, Married-civ-spouse, Craft-repair, Husband, Black, Male,<=0,<=0,<=40, United-States, >50K
>37, Private,>178356, Some-college,<=10, Married-civ-spouse, Sales, Husband, White, Male,<=0,<=0,>40, United-States, <=50K
<=37, Private,<=178356, HS-grad,<=10, Never-married, Craft-repair, Not-in-family, White, Male,<=0,<=0,>40, United-States, <=50K
<=37, Private,>178356, Some-college,<=10, Never-married, Other-service, Own-child, White, Female,<=0,<=0,<=40, United-States, <=50K
>37, Private,<=178356, Bachelors,>10, Married-civ-spouse, Exec-managerial, Husband, White, Male,<=0,<=0,>40, United-States, <=50K
<=37, Private,<=178356, Bachelors,>10, Never-married, Exec-managerial, Own-child, Black, Male,<=0,<=0,<=40, Germany, <=50K
<=37, State-gov,>178356, Bachelors,>10, Married-civ-spouse, Prof-specialty, Husband, White, Male,<=0,<=0,>40, United-States, >50K
<=37, Private,>178356, Some-college,<=10, Never-married, Other-service, Own-child, Black, Male,<=0,<=0,<=40, United-States, <=50K
>37, Private,>178356, Bachelors,>10, Married-civ-spouse, Exec-managerial, Wife, White, Female,<=0,<=0,<=40, United-States, >50K
<=37, Private,<=178356, Some-college,<=10, Never-married, Adm-clerical, Own-child, White, Female,<=0,>0,<=40, United-States, <=50K
<=37, Private,<=178356, Assoc-acdm,>10, Married-civ-spouse, Adm-clerical, Husband, White, Male,<=0,<=0,<=40, United-States, >50K
<=37, ?,<=178356, HS-grad,<=10, Married-civ-spouse, ?, Husband, White, Male,<=0,<=0,<=40, United-States, <=50K
>37, Private,>178356, Some-college,<=10, Divorced, Craft-repair, Not-in-family, White, Male,<=0,<=0,<=40, United-States, <=50K
<=37, Private,<=178356, Assoc-acdm,>10, Never-married, Sales, Not-in-family, White, Female,<=0,<=0,>40, United-States, <=50K
<=37, Private,<=178356, HS-grad,<=10, Never-married, Other-service, Not-in-family, White, Female,<=0,>0,<=40, United-States, <=50K
>37, Self-emp-not-inc,<=178356, HS-grad,<=10, Married-civ-spouse, Craft-repair, Husband, White, Male,>0,<=0,<=40, United-States, <=50K
<=37, Private,>178356, Bachelors,>10, Married-civ-spouse, Sales, Husband, White, Male,<=0,<=0,>40, United-States, <=50K
>37, Private,<=178356, Assoc-acdm,>10, Divorced, Tech-support, Not-in-family, Black, Female,<=0,<=0,<=40, United-States, <=50K
>37, Federal-gov,<=178356, Masters,>10, Married-civ-spouse, Prof-specialty, Husband, White, Male,<=0,<=0,<=40, Iran, >50K
>37, Self-emp-not-inc,<=178356, HS-grad,<=10, Married-civ-spouse, Craft-repair, Husband, White, Male,<=0,<=0,>40, United-States, <=50K
<=37, Private,<=178356, Assoc-voc,>10, Married-civ-spouse, Adm-clerical, Wife, White, Female,<=0,<=0,<=40, United-States, <=50K
<=37, Private,<=178356, Some-college,<=10, Never-married, Sales, Own-child, White, Male,<=0,<=0,<=40, United-States, <=50K
>37, Private,<=178356, Some-college,<=10, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,<=0,<=0,<=40, United-States, >50K
>37, Self-emp-inc,<=178356, HS-grad,<=10, Married-civ-spouse, Craft-repair, Husband, White, Male,<=0,<=0,<=40, United-States, <=50K
<=37, Private,>178356, Some-college,<=10, Never-married, Sales, Own-child, White, Female,<=0,<=0,<=40, United-States, <=50K
<=37, Private,>178356, Some-college,<=10, Never-married, Other-service, Own-child, White, Male,<=0,<=0,<=40, Mexico, <=50K
>37, Private,>178356, Assoc-voc,>10, Never-married, Prof-specialty, Not-in-family, White, Female,<=0,>0,<=40, United-States, >50K
>37, Private,<=178356, Some-college,<=10, Never-married, Tech-support, Other-relative, White, Male,<=0,<=0,<=40, United-States, <=50K
<=37, Private,>178356, HS-grad,<=10, Never-married, Transport-moving, Unmarried, Black, Female,<=0,<=0,<=40, United-States, <=50K
<=37, Private,<=178356, Some-college,<=10, Married-civ-spouse, Other-service, Husband, White, Male,<=0,<=0,<=40, United-States, <=50K
<=37, Private,<=178356, HS-grad,<=10, Widowed, Other-service, Unmarried, White, Female,<=0,<=0,<=40, United-States, <=50K
>37, Private,>178356, 11th,<=10, Married-civ-spouse, Craft-repair, Husband, White, Male,<=0,>0,<=40, United-States, <=50K
>37, ?,<=178356, Some-college,<=10, Divorced, ?, Not-in-family, White, Female,<=0,<=0,<=40, United-States, <=50K
>37, Local-gov,>178356, Some-college,<=10, Divorced, Adm-clerical, Unmarried, White, Female,<=0,<=0,<=40, Mexico, <=50K
<=37, Private,>178356, HS-grad,<=10, Never-married, Adm-clerical, Not-in-family, White, Female,<=0,<=0,<=40, United-States, <=50K
<=37, Private,<=178356, Bachelors,>10, Never-married, Exec-managerial, Other-relative, Asian-Pac-Islander, Female,<=0,<=0,<=40, Philippines, <=50K
<=37, Private,>178356, HS-grad,<=10, Never-married, Craft-repair, Own-child, White, Male,<=0,<=0,<=40, United-States, <=50K
>37, ?,>178356, HS-grad,<=10, Divorced, ?, Not-in-family, White, Male,<=0,<=0,>40, United-States, >50K
>37, Private,>178356, HS-grad,<=10, Married-civ-spouse, Craft-repair, Husband, White, Male,<=0,<=0,>40, United-States, <=50K
<=37, Private,>178356, Bachelors,>10, Never-married, Handlers-cleaners, Not-in-family, White, Male,<=0,<=0,<=40, United-States, <=50K
>37, Self-emp-not-inc,>178356, Some-college,<=10, Separated, Sales, Unmarried, Black, Male,<=0,>0,<=40, United-States, <=50K
<=37, Private,>178356, HS-grad,<=10, Divorced, Craft-repair, Not-in-family, White, Male,<=0,<=0,>40, United-States, <=50K
>37, Private,>178356, Bachelors,>10, Separated, Other-service, Other-relative, Black, Male,<=0,<=0,>40, United-States, <=50K
>37, ?,<=178356, 1st-4th,<=10, Divorced, ?, Not-in-family, White, Female,<=0,<=0,<=40, United-States, <=50K
<=37, Private,>178356, HS-grad,<=10, Never-married, Other-service, Unmarried, White, Female,<=0,<=0,<=40, United-States, <=50K
>37, Self-emp-inc,<=178356, Masters,>10, Divorced, Exec-managerial, Unmarried, Asian-Pac-Islander, Female,<=0,<=0,<=40, United-States, <=50K
<=37, Private,<=178356, HS-grad,<=10, Never-married, Exec-managerial, Not-in-family, Asian-Pac-Islander, Female,<=0,<=0,<=40, England, <=50K
>37, Self-emp-not-inc,>178356, Masters,>10, Married-civ-spouse, Sales, Husband, White, Male,<=0,<=0,<=40, United-States, >50K
<=37, Private,>178356, Some-college,<=10, Divorced, Other-service, Unmarried, White, Female,<=0,<=0,<=40, Mexico, <=50K
>37, Federal-gov,>178356, Assoc-acdm,>10, Never-married, Exec-managerial, Not-in-family, White, Male,<=0,<=0,>40, United-States, <=50K
>37, State-gov,<=178356, Masters,>10, Widowed, Protective-serv, Unmarried, White, Male,<=0,<=0,<=40, United-States, <=50K
<=37, Private,<=178356, 11th,<=10, Never-married, Handlers-cleaners, Own-child, White, Male,<=0,<=0,<=40, United-States, <=50K
>37, Local-gov,<=178356, Assoc-voc,>10, Widowed, Prof-specialty, Not-in-family, White, Female,<=0,<=0,<=40, United-States, <=50K
<=37, Private,<=178356, HS-grad,<=10, Never-married, Other-service, Not-in-family, White, Male,<=0,>0,<=40, United-States, <=50K
<=37, State-gov,<=178356, HS-grad,<=10, Married-civ-spouse, Protective-serv, Husband, White, Male,<=0,<=0,<=40, United-States, <=50K
>37, Private,<=178356, Some-college,<=10, Married-civ-spouse, Sales, Husband, White, Male,<=0,>0,<=40, United-States, >50K
<=37, Private,>178356, Bachelors,>10, Never-married, Craft-repair, Not-in-family, White, Male,<=0,<=0,>40, United-States, <=50K
<=37, State-gov,<=178356, Bachelors,>10, Married-civ-spouse, Prof-specialty, Husband, White, Male,<=0,<=0,<=40, United-States, >50K
<=37, Private,>178356, HS-grad,<=10, Married-spouse-absent, Sales, Unmarried, White, Female,<=0,<=0,<=40, United-States, <=50K
<=37, Private,>178356, HS-grad,<=10, Never-married, Craft-repair, Own-child, Black, Male,<=0,<=0,<=40, United-States, <=50K
<=37, Private,>178356, HS-grad,<=10, Never-married, Handlers-cleaners, Not-in-family, Black, Male,<=0,<=0,<=40, United-States, <=50K
<=37, Private,>178356, HS-grad,<=10, Never-married, Other-service, Own-child, White, Male,<=0,<=0,<=40, United-States, <=50K
<=37, Private,<=178356, Bachelors,>10, Married-civ-spouse, Prof-specialty, Husband, White, Male,<=0,<=0,>40, United-States, <=50K
>37, Local-gov,>178356, Some-college,<=10, Married-civ-spouse, Exec-managerial, Husband, Black, Male,<=0,<=0,<=40, United-States, >50K
>37, Private,<=178356, Some-college,<=10, Divorced, Adm-clerical, Not-in-family, White, Female,<=0,<=0,<=40, United-States, <=50K
<=37, Private,>178356, Some-college,<=10, Never-married, Craft-repair, Not-in-family, Black, Male,<=0,<=0,>40, United-States, <=50K
>37, Private,>178356, 7th-8th,<=10, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,<=0,<=0,<=40, Mexico, >50K
<=37, Federal-gov,<=178356, Some-college,<=10, Married-civ-spouse, Adm-clerical, Husband, White, Male,<=0,<=0,>40, United-States, >50K
<=37, Private,>178356, HS-grad,<=10, Married-civ-spouse, Adm-clerical, Husband, Black, Male,<=0,<=0,<=40, United-States, <=50K
>37, Self-emp-not-inc,<=178356, Bachelors,>10, Divorced, Exec-managerial, Not-in-family, White, Female,<=0,<=0,<=40, United-States, <=50K
>37, ?,<=178356, Bachelors,>10, Divorced, ?, Not-in-family, White, Female,<=0,<=0,>40, United-States, <=50K
<=37, Private,<=178356, Masters,>10, Married-civ-spouse, Prof-specialty, Wife, White, Female,<=0,<=0,>40, United-States, <=50K
>37, State-gov,<=178356, Doctorate,>10, Married-civ-spouse, Prof-specialty, Husband, White, Male,<=0,<=0,<=40, United-States, >50K
>37, Private,<=178356, Some-college,<=10, Divorced, Machine-op-inspct, Not-in-family, Black, Female,<=0,<=0,<=40, United-States, <=50K
<=37, Private,<=178356, Some-college,<=10, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,<=0,<=0,<=40, United-States, <=50K
>37, Local-gov,>178356, Bachelors,>10, Married-civ-spouse, Craft-repair, Husband, Black, Male,<=0,<=0,<=40, United-States, <=50K
>37, Private,<=178356, Some-college,<=10, Married-civ-spouse, Tech-support, Husband, White, Male,<=0,<=0,>40, United-States, <=50K
>37, Federal-gov,<=178356, Bachelors,>10, Married-civ-spouse, Tech-support, Husband, White, Male,<=0,<=0,<=40, United-States, <=50K
<=37, Private,>178356, 5th-6th,<=10, Married-civ-spouse, Transport-moving, Other-relative, White, Male,<=0,<=0,<=40, Mexico, <=50K
<=37, Private,<=178356, Some-college,<=10, Divorced, Craft-repair, Not-in-family, White, Male,<=0,<=0,<=40, United-States, <=50K
>37, Federal-gov,<=178356, Masters,>10, Never-married, Exec-managerial, Not-in-family, White, Female,>0,<=0,>40, United-States, >50K
<=37, Private,<=178356, Masters,>10, Married-civ-spouse, Prof-specialty, Other-relative, White, Male,>0,<=0,<=40, United-States, >50K
<=37, Self-emp-not-inc,<=178356, HS-grad,<=10, Never-married, Sales, Not-in-family, White, Male,<=0,<=0,<=40, United-States, <=50K
<=37, Private,>178356, Masters,>10, Never-married, Prof-specialty, Not-in-family, White, Female,<=0,>0,<=40, United-States, <=50K
<=37, ?,<=178356, HS-grad,<=10, Never-married, ?, Own-child, White, Male,<=0,<=0,<=40, Italy, <=50K
>37, Private,>178356, Bachelors,>10, Married-civ-spouse, Exec-managerial, Husband, White, Male,<=0,<=0,>40, United-States, >50K
>37, Local-gov,>178356, Some-college,<=10, Never-married, Prof-specialty, Not-in-family, White, Female,<=0,>0,<=40, United-States, <=50K
<=37, State-gov,<=178356, HS-grad,<=10, Divorced, Adm-clerical, Unmarried, White, Female,<=0,<=0,<=40, United-States, <=50K
<=37, Private,<=178356, 11th,<=10, Never-married, Sales, Own-child, White, Female,<=0,<=0,<=40, United-States, <=50K
