workclass,education-num,marital-status,sex,hours-per-week,native-country,decision
 Private,9, Divorced, Female,35, United-States, <=50K
 Local-gov,9, Married-civ-spouse, Male,40, United-States, >50K
 Private,14, Married-civ-spouse, Male,50, United-States, <=50K
 Private,5, Never-married, Male,40, United-States, <=50K
 Federal-gov,16, Never-married, Female,50, United-States, >50K
 Private,11, Married-civ-spouse, Male,40, United-States, <=50K
 Private,10, Divorced, Female,40, United-States, <=50K
 Private,10, Divorced, Female,25, United-States, <=50K
 Private,9, Married-civ-spouse, Female,35, ?, <=50K
 Local-gov,13, Married-civ-spouse, Male,40, United-States, >50K
 Local-gov,10, Never-married, Male,50, United-States, <=50K
 Self-emp-not-inc,16, Married-civ-spouse, Male,60, United-States, >50K
 Private,10, Married-civ-spouse, Male,48, United-States, >50K
 Private,12, Divorced, Female,40, England, <=50K
 Federal-gov,9, Never-married, Male,40, United-States, <=50K
 Private,14, Married-civ-spouse, Male,40, United-States, >50K
 Private,13, Married-civ-spouse, Male,60, United-States, >50K
 Self-emp-not-inc,14, Never-married, Female,50, United-States, <=50K
 Private,10, Never-married, Female,40, United-States, <=50K
 Private,9, Never-married, Male,40, United-States, <=50K
 Self-emp-inc,9, Married-civ-spouse, Male,40, United-States, >50K
 ?,6, Never-married, Female,32, United-States, <=50K
 Private,7, Never-married, Male,40, United-States, <=50K
 Local-gov,9, Never-married, Female,40, United-States, <=50K
 Private,9, Married-civ-spouse, Male,40, United-States, <=50K
 Private,13, Never-married, Male,40, United-States, <=50K
 Private,15, Married-civ-spouse, Male,40, United-States, >50K
 Self-emp-not-inc,9, Married-civ-spouse, Male,50, Canada, >50K
 Private,10, Married-civ-spouse, Female,25, United-States, <=50K
 Private,9, Never-married, Female,40, United-States, <=50K
 Private,5, Married-civ-spouse, Male,50, United-States, <=50K
 Self-emp-inc,10, Married-civ-spouse, Male,50, United-States, <=50K
 Local-gov,11, Married-civ-spouse, Male,40, United-States, >50K
 Private,10, Married-civ-spouse, Male,56, United-States, <=50K
 Private,9, Never-married, Male,41, United-States, <=50K
 Private,10, Never-married, Female,40, United-States, <=50K
 Private,13, Married-civ-spouse, Male,60, United-States, <=50K
 Private,13, Never-married, Male,40, Germany, <=50K
 State-gov,13, Married-civ-spouse, Male,50, United-States, >50K
 Private,10, Never-married, Male,35, United-States, <=50K
 Private,13, Married-civ-spouse, Female,40, United-States, >50K
 Private,10, Never-married, Female,28, United-States, <=50K
 Private,12, Married-civ-spouse, Male,40, United-States, >50K
 ?,9, Married-civ-spouse, Male,40, United-States, <=50K
 Private,10, Divorced, Male,40, United-States, <=50K
 Private,12, Never-married, Female,60, United-States, <=50K
 Private,9, Never-married, Female,40, United-States, <=50K
 Self-emp-not-inc,9, Married-civ-spouse, Male,35, United-States, <=50K
 Private,13, Married-civ-spouse, Male,50, United-States, <=50K
 Private,12, Divorced, Female,36, United-States, <=50K
 Federal-gov,14, Married-civ-spouse, Male,40, Iran, >50K
 Self-emp-not-inc,9, Married-civ-spouse, Male,60, United-States, <=50K
 Private,11, Married-civ-spouse, Female,35, United-States, <=50K
 Private,10, Never-married, Male,20, United-States, <=50K
 Private,10, Married-civ-spouse, Male,40, United-States, >50K
 Self-emp-inc,9, Married-civ-spouse, Male,40, United-States, <=50K
 Private,10, Never-married, Female,40, United-States, <=50K
 Private,10, Never-married, Male,30, Mexico, <=50K
 Private,11, Never-married, Female,40, United-States, >50K
 Private,10, Never-married, Male,40, United-States, <=50K
 Private,9, Never-married, Female,30, United-States, <=50K
 Private,10, Married-civ-spouse, Male,24, United-States, <=50K
 Private,9, Widowed, Female,24, United-States, <=50K
 Private,7, Married-civ-spouse, Male,40, United-States, <=50K
 ?,10, Divorced, Female,40, United-States, <=50K
 Local-gov,10, Divorced, Female,38, Mexico, <=50K
 Private,9, Never-married, Female,40, United-States, <=50K
 Private,13, Never-married, Female,40, Philippines, <=50K
 Private,9, Never-married, Male,35, United-States, <=50K
 ?,9, Divorced, Male,45, United-States, >50K
 Private,9, Married-civ-spouse, Male,46, United-States, <=50K
 Private,13, Never-married, Male,40, United-States, <=50K
 Self-emp-not-inc,10, Separated, Male,2, United-States, <=50K
 Private,9, Divorced, Male,60, United-States, <=50K
 Private,13, Separated, Male,50, United-States, <=50K
 ?,2, Divorced, Female,20, United-States, <=50K
 Private,9, Never-married, Female,40, United-States, <=50K
 Self-emp-inc,14, Divorced, Female,40, United-States, <=50K
 Private,9, Never-married, Female,40, England, <=50K
 Self-emp-not-inc,14, Married-civ-spouse, Male,40, United-States, >50K
 Private,10, Divorced, Female,40, Mexico, <=50K
 Federal-gov,12, Never-married, Male,42, United-States, <=50K
 State-gov,14, Widowed, Male,40, United-States, <=50K
 Private,7, Never-married, Male,16, United-States, <=50K
 Local-gov,11, Widowed, Female,20, United-States, <=50K
 Private,9, Never-married, Male,40, United-States, <=50K
 State-gov,9, Married-civ-spouse, Male,40, United-States, <=50K
 Private,10, Married-civ-spouse, Male,40, United-States, >50K
 Private,13, Never-married, Male,50, United-States, <=50K
 State-gov,13, Married-civ-spouse, Male,40, United-States, >50K
 Private,9, Married-spouse-absent, Female,25, United-States, <=50K
 Private,9, Never-married, Male,40, United-States, <=50K
 Private,9, Never-married, Male,40, United-States, <=50K
 Private,9, Never-married, Male,12, United-States, <=50K
 Private,13, Married-civ-spouse, Male,65, United-States, <=50K
 Local-gov,10, Married-civ-spouse, Male,38, United-States, >50K
 Private,10, Divorced, Female,40, United-States, <=50K
 Private,10, Never-married, Male,45, United-States, <=50K
 Private,4, Married-civ-spouse, Male,40, Mexico, >50K
 Federal-gov,10, Married-civ-spouse, Male,42, United-States, >50K
 Private,9, Married-civ-spouse, Male,40, United-States, <=50K
 Self-emp-not-inc,13, Divorced, Female,40, United-States, <=50K
 ?,13, Divorced, Female,50, United-States, <=50K
 Private,14, Married-civ-spouse, Female,50, United-States, <=50K
 State-gov,16, Married-civ-spouse, Male,1, United-States, >50K
 Private,10, Divorced, Female,28, United-States, <=50K
 Private,10, Married-civ-spouse, Male,40, United-States, <=50K
 Local-gov,13, Married-civ-spouse, Male,40, United-States, <=50K
 Private,10, Married-civ-spouse, Male,45, United-States, <=50K
 Federal-gov,13, Married-civ-spouse, Male,24, United-States, <=50K
 Private,3, Married-civ-spouse, Male,40, Mexico, <=50K
 Private,10, Divorced, Male,40, United-States, <=50K
 Federal-gov,14, Never-married, Female,55, United-States, >50K
 Private,14, Married-civ-spouse, Male,40, United-States, >50K
 Self-emp-not-inc,9, Never-married, Male,40, United-States, <=50K
 Private,14, Never-married, Female,40, United-States, <=50K
 ?,9, Never-married, Male,40, Italy, <=50K
 Private,13, Married-civ-spouse, Male,50, United-States, >50K
 Local-gov,10, Never-married, Female,40, United-States, <=50K
 State-gov,9, Divorced, Female,35, United-States, <=50K
 Private,7, Never-married, Female,40, United-States, <=50K
 Private,13, Married-civ-spouse, Male,36, United-States, >50K
 Private,9, Divorced, Male,60, United-States, <=50K
 Self-emp-inc,9, Married-civ-spouse, Female,35, United-States, >50K
 Private,7, Never-married, Female,12, United-States, <=50K
 Local-gov,9, Married-civ-spouse, Male,40, United-States, <=50K
 Private,9, Married-civ-spouse, Male,40, United-States, >50K
 Private,10, Never-married, Female,40, United-States, <=50K
 Private,9, Married-civ-spouse, Male,40, United-States, <=50K
 Self-emp-inc,4, Married-civ-spouse, Male,40, United-States, >50K
 Private,13, Never-married, Male,60, United-States, >50K
 Private,12, Divorced, Female,40, United-States, <=50K
 Private,13, Married-civ-spouse, Male,50, Poland, <=50K
 Private,13, Married-civ-spouse, Male,55, United-States, <=50K
 Private,6, Never-married, Male,40, United-States, <=50K
 Private,10, Married-civ-spouse, Male,40, United-States, <=50K
 ?,2, Divorced, Male,40, United-States, <=50K
 Private,9, Never-married, Male,40, United-States, <=50K
 Private,9, Married-civ-spouse, Male,20, United-States, <=50K
 Local-gov,1, Never-married, Female,35, United-States, <=50K
 Private,9, Never-married, Female,40, United-States, <=50K
 ?,6, Divorced, Female,10, United-States, <=50K
 Self-emp-not-inc,9, Married-civ-spouse, Male,50, United-States, <=50K
 Private,11, Widowed, Female,20, Columbia, <=50K
 Private,9, Divorced, Female,40, United-States, <=50K
 Private,7, Separated, Male,40, United-States, <=50K
 Private,9, Divorced, Female,38, United-States, <=50K
 Private,10, Never-married, Male,42, United-States, <=50K
 Private,10, Divorced, Female,40, United-States, <=50K
 Private,15, Never-married, Male,55, United-States, >50K
 State-gov,9, Married-civ-spouse, Male,40, United-States, <=50K
 State-gov,10, Never-married, Female,38, United-States, <=50K
 Private,13, Married-civ-spouse, Male,50, Iran, >50K
 Local-gov,14, Married-civ-spouse, Male,70, United-States, >50K
 Private,9, Never-married, Male,40, United-States, <=50K
 Private,13, Married-civ-spouse, Male,40, United-States, >50K
 Self-emp-not-inc,9, Married-civ-spouse, Female,20, United-States, <=50K
 State-gov,12, Married-civ-spouse, Male,50, United-States, <=50K
 ?,10, Never-married, Male,20, United-States, <=50K
 Private,10, Divorced, Male,40, United-States, <=50K
 Private,9, Married-civ-spouse, Male,35, ?, <=50K
 Private,9, Married-civ-spouse, Male,45, United-States, >50K
 Private,9, Never-married, Female,34, United-States, <=50K
 Private,12, Married-civ-spouse, Male,60, United-States, >50K
 Private,9, Married-civ-spouse, Male,40, ?, <=50K
 Private,15, Married-civ-spouse, Female,40, United-States, >50K
 Private,13, Married-civ-spouse, Female,40, United-States, <=50K
 Local-gov,6, Widowed, Female,30, United-States, <=50K
 Local-gov,10, Never-married, Male,40, United-States, <=50K
 Private,10, Never-married, Male,20, United-States, <=50K
 Self-emp-not-inc,9, Married-civ-spouse, Male,40, Cambodia, >50K
 Private,9, Never-married, Female,40, United-States, <=50K
 Private,9, Separated, Female,30, United-States, <=50K
 Private,11, Widowed, Female,45, United-States, <=50K
 Private,4, Divorced, Male,40, United-States, <=50K
 Private,13, Divorced, Female,40, United-States, <=50K
 Private,9, Married-civ-spouse, Male,60, United-States, <=50K
 Private,7, Never-married, Male,12, United-States, <=50K
 Private,10, Married-civ-spouse, Male,40, United-States, <=50K
 Private,7, Married-civ-spouse, Male,40, United-States, <=50K
 Self-emp-inc,10, Married-civ-spouse, Male,75, Thailand, >50K
 ?,10, Never-married, Male,24, Canada, <=50K
 Private,9, Married-civ-spouse, Male,40, United-States, >50K
 Private,13, Never-married, Female,45, United-States, <=50K
 Private,9, Married-civ-spouse, Female,40, United-States, >50K
 Private,9, Married-civ-spouse, Male,40, United-States, >50K
 Private,5, Never-married, Male,24, United-States, <=50K
 Self-emp-not-inc,14, Married-civ-spouse, Male,98, United-States, <=50K
 Local-gov,14, Never-married, Male,35, United-States, <=50K
 Private,9, Divorced, Female,40, United-States, <=50K
 Private,9, Married-civ-spouse, Male,40, United-States, <=50K
 Private,10, Married-civ-spouse, Male,40, United-States, >50K
 Private,10, Never-married, Female,40, United-States, <=50K
 Private,10, Never-married, Female,40, United-States, <=50K
 Private,10, Married-civ-spouse, Female,48, United-States, >50K
 Private,13, Never-married, Female,15, Germany, <=50K
 Local-gov,10, Married-civ-spouse, Male,40, United-States, >50K
 Private,12, Divorced, Female,45, United-States, <=50K
 Private,13, Divorced, Female,42, United-States, <=50K
 Private,9, Never-married, Male,40, United-States, <=50K
 Federal-gov,14, Married-civ-spouse, Male,40, United-States, >50K
 Private,15, Married-civ-spouse, Male,60, United-States, >50K
 Private,10, Divorced, Male,45, United-States, <=50K
 Private,13, Never-married, Female,40, United-States, <=50K
 Private,4, Married-civ-spouse, Male,40, Ecuador, <=50K
 Private,13, Married-civ-spouse, Male,45, United-States, <=50K
 Private,9, Divorced, Female,40, United-States, <=50K
 Local-gov,13, Never-married, Male,56, United-States, <=50K
 Private,10, Never-married, Male,45, United-States, <=50K
 Private,13, Never-married, Female,40, United-States, <=50K
 Private,9, Married-civ-spouse, Male,16, United-States, <=50K
 Self-emp-inc,13, Divorced, Female,60, United-States, <=50K
 ?,14, Married-civ-spouse, Female,40, ?, <=50K
 Private,9, Never-married, Male,40, United-States, <=50K
 Private,9, Divorced, Male,80, United-States, <=50K
 Private,13, Married-civ-spouse, Male,40, United-States, >50K
 Private,10, Never-married, Female,25, United-States, <=50K
 Private,9, Married-civ-spouse, Male,45, United-States, >50K
 Private,9, Married-civ-spouse, Male,40, United-States, >50K
 Private,10, Married-civ-spouse, Female,40, Laos, <=50K
 Private,9, Divorced, Female,40, United-States, <=50K
 Private,12, Never-married, Male,45, United-States, <=50K
 Private,12, Never-married, Female,33, United-States, <=50K
 Private,12, Married-civ-spouse, Male,40, United-States, >50K
 Self-emp-inc,10, Married-civ-spouse, Male,54, United-States, >50K
 Private,13, Never-married, Male,40, United-States, <=50K
 Private,14, Married-civ-spouse, Male,35, Taiwan, >50K
 ?,10, Never-married, Female,25, United-States, <=50K
 Self-emp-not-inc,13, Divorced, Female,40, United-States, >50K
 Private,10, Never-married, Male,15, United-States, <=50K
 Private,10, Never-married, Male,40, United-States, <=50K
 Self-emp-not-inc,10, Married-civ-spouse, Male,40, United-States, <=50K
 Private,3, Married-civ-spouse, Female,40, Mexico, <=50K
 Private,10, Never-married, Female,40, United-States, <=50K
 Private,9, Widowed, Female,24, United-States, <=50K
 Self-emp-not-inc,9, Married-civ-spouse, Male,40, United-States, <=50K
 Private,10, Married-civ-spouse, Male,50, United-States, <=50K
 Private,9, Divorced, Male,45, United-States, <=50K
 Private,7, Never-married, Female,40, United-States, <=50K
 Self-emp-not-inc,14, Married-civ-spouse, Male,10, United-States, <=50K
 Self-emp-not-inc,9, Married-civ-spouse, Male,45, United-States, <=50K
 ?,11, Never-married, Female,15, United-States, <=50K
 Private,10, Married-civ-spouse, Female,50, United-States, >50K
 Self-emp-not-inc,9, Married-civ-spouse, Male,40, United-States, <=50K
 Private,9, Never-married, Male,55, United-States, <=50K
 Private,10, Never-married, Male,45, United-States, <=50K
 Private,13, Never-married, Male,40, United-States, <=50K
 Private,11, Never-married, Male,40, United-States, <=50K
 Local-gov,6, Married-civ-spouse, Male,40, United-States, <=50K
 Private,9, Married-civ-spouse, Male,40, United-States, <=50K
 Private,3, Never-married, Male,48, Mexico, <=50K
 Private,9, Never-married, Male,40, United-States, <=50K
 Private,14, Never-married, Male,60, United-States, <=50K
 Private,9, Never-married, Male,30, Haiti, <=50K
 Private,9, Married-civ-spouse, Male,40, United-States, <=50K
 Private,12, Never-married, Male,40, United-States, <=50K
 Private,11, Married-civ-spouse, Male,40, United-States, >50K
 State-gov,9, Married-civ-spouse, Male,40, United-States, >50K
 Private,9, Never-married, Male,20, United-States, <=50K
 State-gov,10, Never-married, Female,40, United-States, <=50K
 Self-emp-not-inc,13, Never-married, Male,42, United-States, <=50K
 ?,7, Married-civ-spouse, Male,8, United-States, <=50K
 ?,11, Divorced, Female,40, United-States, <=50K
 Private,12, Married-spouse-absent, Male,25, Iran, <=50K
 Private,13, Never-married, Male,25, United-States, <=50K
 Private,13, Married-civ-spouse, Male,40, United-States, >50K
 Private,9, Married-civ-spouse, Male,40, United-States, <=50K
 Private,13, Married-civ-spouse, Male,40, United-States, >50K
 Local-gov,7, Married-civ-spouse, Male,30, United-States, <=50K
 ?,13, Married-civ-spouse, Male,40, United-States, >50K
 Federal-gov,9, Married-civ-spouse, Male,40, United-States, >50K
 Private,7, Widowed, Male,40, United-States, <=50K
 Private,11, Married-civ-spouse, Male,40, United-States, >50K
 Private,9, Married-civ-spouse, Female,35, United-States, <=50K
 Self-emp-not-inc,5, Married-civ-spouse, Male,40, Portugal, <=50K
 Private,6, Married-civ-spouse, Female,24, United-States, <=50K
 Private,14, Married-civ-spouse, Male,40, United-States, >50K
 Private,13, Married-civ-spouse, Male,45, United-States, <=50K
 Private,13, Divorced, Male,45, United-States, >50K
 Private,9, Married-spouse-absent, Male,55, United-States, <=50K
 Private,9, Married-civ-spouse, Male,40, United-States, <=50K
 Self-emp-not-inc,10, Married-civ-spouse, Male,45, United-States, <=50K
 Private,12, Never-married, Female,15, United-States, <=50K
 Private,13, Divorced, Female,45, United-States, >50K
 Private,9, Divorced, Female,40, United-States, <=50K
 Federal-gov,10, Never-married, Female,15, United-States, <=50K
 Private,7, Never-married, Male,10, United-States, <=50K
 State-gov,11, Married-civ-spouse, Male,38, United-States, >50K
 Private,9, Married-civ-spouse, Male,40, United-States, <=50K
 Private,9, Never-married, Male,40, United-States, <=50K
 Local-gov,10, Never-married, Female,10, United-States, <=50K
 Private,9, Married-civ-spouse, Female,40, United-States, <=50K
 Private,10, Never-married, Male,40, United-States, <=50K
 Self-emp-not-inc,14, Divorced, Male,30, United-States, <=50K
 Private,9, Married-civ-spouse, Male,50, United-States, <=50K
 Private,9, Divorced, Male,40, United-States, <=50K
 Private,3, Divorced, Female,45, United-States, <=50K
 Private,10, Married-civ-spouse, Male,40, United-States, <=50K
 Private,10, Divorced, Female,40, United-States, <=50K
 Local-gov,10, Married-civ-spouse, Female,40, United-States, <=50K
 Private,9, Never-married, Female,25, United-States, <=50K
 Private,9, Separated, Male,40, United-States, <=50K
 Private,10, Married-civ-spouse, Female,6, United-States, >50K
 Private,10, Never-married, Female,16, United-States, <=50K
 Private,9, Never-married, Female,40, United-States, <=50K
 Private,9, Married-civ-spouse, Female,40, United-States, >50K
 Private,13, Never-married, Male,50, United-States, <=50K
 Self-emp-not-inc,12, Separated, Male,40, United-States, <=50K
 State-gov,13, Married-civ-spouse, Male,45, ?, >50K
 Private,9, Never-married, Female,35, United-States, <=50K
 Private,10, Married-civ-spouse, Male,40, United-States, <=50K
 Private,10, Divorced, Female,40, United-States, <=50K
 ?,9, Never-married, Female,35, United-States, <=50K
 Private,13, Married-civ-spouse, Male,55, United-States, >50K
 Self-emp-inc,13, Married-civ-spouse, Male,50, United-States, >50K
 Private,10, Never-married, Male,40, United-States, <=50K
 Private,10, Never-married, Female,40, United-States, <=50K
 State-gov,13, Married-civ-spouse, Male,40, United-States, >50K
 Private,11, Divorced, Female,64, United-States, <=50K
 Private,4, Married-civ-spouse, Male,40, Puerto-Rico, <=50K
 Private,14, Married-civ-spouse, Male,65, United-States, >50K
 Private,9, Married-civ-spouse, Male,40, United-States, <=50K
 Self-emp-not-inc,9, Married-civ-spouse, Male,25, United-States, <=50K
 ?,10, Married-civ-spouse, Female,40, United-States, >50K
 Private,10, Married-civ-spouse, Male,50, United-States, <=50K
 Local-gov,10, Divorced, Female,24, United-States, <=50K
 Private,9, Never-married, Female,40, United-States, <=50K
 Private,10, Divorced, Female,40, United-States, <=50K
 Private,16, Married-civ-spouse, Male,60, United-States, >50K
 State-gov,10, Married-civ-spouse, Male,40, United-States, <=50K
 Private,8, Divorced, Male,50, United-States, >50K
 Private,2, Married-civ-spouse, Male,40, Mexico, <=50K
 Private,7, Never-married, Female,19, United-States, <=50K
 Local-gov,7, Separated, Male,40, United-States, <=50K
 State-gov,9, Divorced, Female,40, United-States, <=50K
 Private,10, Married-civ-spouse, Male,30, United-States, <=50K
 Private,7, Never-married, Male,18, United-States, <=50K
 State-gov,13, Married-civ-spouse, Female,40, United-States, >50K
 Private,9, Divorced, Male,40, United-States, <=50K
 Private,6, Never-married, Female,35, United-States, <=50K
 Private,9, Married-civ-spouse, Male,60, United-States, <=50K
 Federal-gov,14, Never-married, Male,40, United-States, <=50K
 Private,9, Never-married, Male,72, Dominican-Republic, <=50K
 Self-emp-inc,9, Married-civ-spouse, Male,40, United-States, >50K
 Local-gov,14, Married-civ-spouse, Male,40, United-States, <=50K
 ?,9, Widowed, Male,24, United-States, <=50K
 ?,7, Never-married, Male,40, United-States, <=50K
 Self-emp-not-inc,13, Married-spouse-absent, Female,40, United-States, <=50K
 Private,12, Married-civ-spouse, Female,25, United-States, >50K
 Private,10, Never-married, Male,40, Philippines, <=50K
 Private,14, Married-civ-spouse, Male,50, United-States, >50K
 Local-gov,9, Never-married, Male,60, United-States, <=50K
 Local-gov,10, Never-married, Female,40, United-States, <=50K
 Private,10, Married-civ-spouse, Male,40, United-States, <=50K
 Local-gov,10, Married-civ-spouse, Female,40, United-States, <=50K
 Private,13, Never-married, Male,40, United-States, <=50K
 Private,9, Divorced, Female,28, United-States, <=50K
 Federal-gov,9, Never-married, Male,40, United-States, <=50K
 Private,10, Married-civ-spouse, Male,40, United-States, >50K
 Private,5, Never-married, Male,40, Mexico, <=50K
 Private,10, Never-married, Male,35, United-States, <=50K
 Private,9, Widowed, Female,40, United-States, <=50K
 Private,9, Married-civ-spouse, Male,40, United-States, <=50K
 Private,9, Married-civ-spouse, Male,40, United-States, <=50K
 ?,7, Never-married, Female,5, United-States, <=50K
 Private,9, Never-married, Female,40, United-States, <=50K
 Self-emp-inc,10, Married-civ-spouse, Male,55, United-States, >50K
 Private,9, Married-civ-spouse, Male,40, United-States, >50K
 Private,12, Married-civ-spouse, Male,40, ?, >50K
 Self-emp-not-inc,9, Married-civ-spouse, Female,40, United-States, >50K
 Private,11, Married-civ-spouse, Male,40, United-States, >50K
 Private,9, Married-civ-spouse, Female,40, United-States, <=50K
 Private,10, Married-civ-spouse, Male,50, United-States, <=50K
 Private,9, Married-civ-spouse, Male,60, United-States, <=50K
 ?,10, Married-civ-spouse, Male,40, United-States, <=50K
 Private,12, Never-married, Male,40, United-States, <=50K
 Local-gov,9, Married-civ-spouse, Male,40, United-States, <=50K
 Private,13, Married-civ-spouse, Male,50, United-States, <=50K
 Private,2, Married-spouse-absent, Male,40, United-States, <=50K
 Private,13, Never-married, Female,20, United-States, <=50K
 Private,9, Married-civ-spouse, Female,60, United-States, <=50K
 Private,9, Divorced, Male,40, United-States, <=50K
 Private,10, Married-civ-spouse, Male,40, United-States, <=50K
 Private,14, Married-civ-spouse, Male,45, United-States, >50K
 Private,13, Married-civ-spouse, Female,16, United-States, >50K
 Private,10, Never-married, Male,40, United-States, >50K
 ?,10, Never-married, Male,40, United-States, <=50K
 Private,9, Never-married, Male,40, United-States, <=50K
 Private,9, Never-married, Male,60, United-States, <=50K
 Private,11, Divorced, Female,24, United-States, <=50K
 Private,13, Never-married, Female,40, United-States, <=50K
 Private,5, Never-married, Male,6, United-States, <=50K
 Private,10, Never-married, Male,30, United-States, <=50K
 Private,6, Never-married, Male,40, United-States, <=50K
 Private,9, Never-married, Female,35, United-States, <=50K
 Private,12, Married-civ-spouse, Male,45, Portugal, <=50K
 Self-emp-not-inc,10, Married-civ-spouse, Male,20, United-States, <=50K
 State-gov,13, Never-married, Male,20, United-States, <=50K
 Private,9, Married-spouse-absent, Female,40, United-States, <=50K
 ?,8, Never-married, Male,40, United-States, <=50K
 Private,10, Married-spouse-absent, Female,20, United-States, <=50K
 ?,2, Married-civ-spouse, Male,35, United-States, <=50K
 Local-gov,9, Married-civ-spouse, Male,45, United-States, <=50K
 Local-gov,13, Divorced, Female,40, United-States, <=50K
 Private,13, Married-civ-spouse, Male,60, United-States, >50K
